Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C27H34O15,CHO,598.1898,27,34,15,0,0,0,0.56,1.26,0.00,0.00,0.00,1653144.834,838428.9887,2933019.202,628828.0913,911483.4231,9898.127949
C27H35O10N5,CHON,589.2383933,27,35,10,5,0,0,0.37,1.30,0.19,0.00,0.00,3984.107113,6772.771145,7366.793611,17284.65236,2917.577373,1716.291629
C23H42O6N6S,CHONS,530.2886433,23,42,6,6,0,1,0.26,1.83,0.26,0.00,0.00,349837.9828,382636.3877,341602.9481,808564.2889,1475512.971,314945.8164
C27H54O,CHO,394.4175,27,54,1,0,0,0,0.04,2.00,0.00,0.00,0.00,309394.2921,897684.8967,1117962.542,405641.9157,460695.7093,162515.3889
C19H30O13N6S,CHONS,582.1591533,19,30,13,6,0,1,0.68,1.58,0.32,0.00,0.00,2097740.46,2571175.958,1313339.382,387626.9771,113388.9023,265256.1819
C18H30O5,CHO,326.2093,18,30,5,0,0,0,0.28,1.67,0.00,0.00,0.00,62236713.72,34839491.21,32557794.45,6024115.246,829821.2423,5078378.307
C23H35O10N7,CHON,569.2445333,23,35,10,7,0,0,0.43,1.52,0.30,0.00,0.00,26066.60687,93856.64192,66496.79755,32011.78124,10575.36649,6314.659488
C21H29O8N5,CHON,479.2015933,21,29,8,5,0,0,0.38,1.38,0.24,0.00,0.00,2800968.429,823428.1166,2182640.461,3225553.499,4065681.26,2721105.471
C26H43O5N,CHON,449.3141,26,43,5,1,0,0,0.19,1.65,0.04,0.00,0.00,1924669.733,617940.9201,1254961.823,2365339.306,1184610.42,2724237.209
C25H35O8,CHO,498.202,25,35,8,0,0,0,0.32,1.40,0.00,0.00,0.00,3379566.633,1643589.227,523084.0331,6945766.003,847708.785,1284858.799
C49H79O13P,CHOP,906.5258,49,79,13,0,1,0,0.27,1.61,0.00,0.02,0.00,1931479.02,1054324.726,3820281.523,3189625.872,1564135.784,2579.593084
C21H33O7N6PS,CHONPS,514.2209633,21,33,7,6,1,1,0.33,1.57,0.29,0.05,6.00,104156.2135,181259.9981,126539.8243,240207.6252,135350.5792,
C40H59O8N13S2,CHONS,913.4051033,40,59,8,13,0,2,0.20,1.48,0.33,0.00,0.00,2378433.817,752512.4343,1211417.255,313304.1101,2979468.052,1929804.712
C29H48O,CHO,412.3705,29,48,1,0,0,0,0.03,1.66,0.00,0.00,0.00,4096455.191,13353856.37,4783001.972,3930513.708,3643680.803,6525599.533
C22H41O8N7S,CHONS,563.2737333,22,41,8,7,0,1,0.36,1.86,0.32,0.00,0.00,252847.9845,116877.4129,19832.91953,70521.33933,57715.22595,5185.380296
C24H40O8S,CHOS,488.2444,24,40,8,0,0,1,0.33,1.67,0.00,0.00,0.00,2325238.074,4226486.873,521142.9667,1460258.235,2010463.936,1113216.024
C19H35O10N9,CHON,549.2506833,19,35,10,9,0,0,0.53,1.84,0.47,0.00,0.00,2199702.706,1416463.223,1447851.193,1147915.357,921539.6771,516373.4577
